Professor	教授
Kuroda	黑田
Bouchet	布歇特
the Department of Gastropods	腹足纲学系
the Department of Bivalves	双壳纲学系
table of contents	目录
Message	讯息
Leave current form?	离开所在的页面？
<br>Do you want to download these files and print?	<br>是否要下载这些文件并打印?
Not allow blank of FromGroup Name.	请选择由用户群组
Not allow blank of ToGroup Name.	请选择到用户群组
Attachment must be a Pdf file.	附加表格必须为PDF档案
Archive schedule format incorrect.<br>Please use 4 digits to represent a time schedule and seperated by comma	存档排程格式未正确. 请以4位数字表示并以逗号作分隔
Please select a attribute for delete.	请选择一个属性作删除.
Please select an end date.	请选择目标日期.
Please select a filter.	请选择一项类别.
Invalid end date.	目标日期不能大於开始日期.
Please select a start date.	请选择开始日期.
Please select a folder.	请选择一个资料夹.
Mass can not be all blank for display if Display Category is selected	当选择分类後,请於Mass栏填上至少一项
Please select the target.	请选择目标
Please select a user.	请选择一个使用者.
Service unavailable.	不能提供服务.
Please input a Attribute Name.	请输入属性名称.
Please input a Category Name.	请输入物件分类名称.
Please select a comment for update.	请选择一个注解作更新.
Update or delete other user\'s comment is not allowed.	不允许更新其他人的注解.
Document is not found.	找不到文件.
Document expiry date is exceeded	档案已到期
Please input a file name.	请输入档案名称.
Please select a file to be upload.	请从电脑中选择需上载的档案.
Please input a folder name.	请输入资料夹名称.
Please input a Group Name.	请输入用户群组名称.
Please select a parent folder.	请选择目标资料夹.
Invalid Expiry Date	到期日期无效
Destination Folder is existed in selected Files/Folders.	目标文件夹已存在于选定的文件/文件夹
Only file type can be printed	只有文件类型可以打印 
Please input a Organization Unit Name.	请输入组织名称.
Please select a reference.	请选择一个参考.
Delete other user\'s reference is not allowed.	不允许删除其他人的注解.
Please input the description of the request.	请在申请加上叙述
Please input a shortcut name.	请输入捷径名称.
Please select a target folder or file.	请选择目标档案.
Please input a url address.	请输入连结地址.
Target file cannot be a shortcut!	目标档案不能为捷径.
System busy, please try again later.	系统繁忙中, 请稍後再试.
System Default Role is not allowed to delete.	不允許刪除系統預計角色.
Target file does not exist	目标档案不存在.
Target document expiry date is exceeded	目标档案已到期
Please input a url address.	请输入连结地址.
Please input a url name.	请输入连结名称.
Please input a Confirm Password.	请输入确定密码.
Please input a First Name.	请输入名字.
Please input a Last Name.	请输入姓氏.
Please select a Language.	请选择语言.
Please input the duration of the modified item.	请输入修改项目期间.
Please input the duration of the new item.	请输入新项目期间.
Please input a New Password.	请输入新密码.
Please input a Old Password.	请输入旧密码.
Please input a Password.	请输入密码.
Please input the list of record per page.	请输入每页记录.
Please select a Status.	请选择状态.
Please select a Theme.	请选择主题.
Please input a User ID.	请输入用户名称.
Confirm Password does not match.	确定密码不符.
Invalid Email format	邮件格式错误
Printing a merged file with size greater than 1 GB is not allowd	合并打印的文件大于1 GB是不允许的
The request was sent to administrator.	申请已被发送至系统管理员
Sorry! You do not have permission to open.	抱歉！您没有开启的权限.
The testing email was sent, please check your email to confirm.	測試電郵成功發送,請查閱你的電郵信箱作確認.
Record update success	更新资料成功
Uploading...	上载中...
Close	关闭
Receive	接收
Send	发送
Add	新增
Admin Guide	管理员使用手册
Advance Search	进阶搜寻
Browse	浏览
Cancel	取消
Clear	清除
Delete	删除
Document Menu	文件功能表
Edit	修改
Export	汇出
News	最新消息
Next	下一个文件
Prev	上一个文件
Reset	重新设定
Save	储存
Save And Exit	储存及退出
Save Attribute Value	储存属性值
Save Category Setup	储存物件分类设定
Search	搜寻
Select	选择
Show All	显示所有
Submit	送出
Update	更新
User Guide	用户使用手册
Please wait...	请等待...
email	电子邮件
File	档案
Folder	资料夹
About DIKO	关於 DIKO
Unlock	解除封锁
The action can only be performed by EDP Manager	只有EDP主管可以执行这动作
The action can only be performed by System administrator or EDP Manager	只有系统主管或EDP主管可以执行这动作
Action aborted	系统指令错误
New Acount	新增帐户
Add Attribute	新增属性
Add Category	新增物件分类
Add Category Form	新增分类表格
New Document	新增文件
New Folder	新增资料夹
New Group	新增用户群组
Add Group	新增用户群组
New News	新的最新消息
New Item	新增项目
New Shortcut	新增捷径
Add Task	新增工作
Add To	加到
New URL	新增URL
New User	新增用户
Add User	新增用户
New File Version	新增档案版本
Add Ref. by search	新增注解[搜寻]
Add Task Doc by search	新增工作文件[搜寻]
Add Archive	新增存档 
Add to Archive Folder	新增到存档资料夹
Add Doc. Notify List	添加文件通知列表 
Click "Yes" for add file to preset category filing location and "No" for add file to current folder location.	选择"是"将文件新增至预先设置的存档目的地,选择"否"将文件新增至当前的目的地
Additional Email	附加电邮
Add Role	新增角色
Add Shortcut	新增捷径 
Add user from another groups	从别的群组新增用户
Admin Check In List	已鎖定文件
Admin Check In List	管理员解除锁定列表
Admin is not allowed to delete	不可刪除Admin
admin must have Admin Permission	admin必须拥有管理员权限
Email Alert After Deadline	过到期後的电邮通知间隔
All of document action	所有文件事件
Allow Change DocType	允许更改文件种类 
Allow Change Doc. Name	允许更改文件名字 
Modified	已被修改
New Item	新项目
PDF rendition Failed	PDF建立错误
Reserved	已锁定
Apply To Subitem	更新子项目
Archive Location	存档路径
Archive the latest version only?	只将最新的版本作存档?
Archive Schedule	存档排程
Link	链结
Attachment	附件
Original	原文件
Attribute Value is changed. Need to update the record to continue process, update now?	属性值已被修改, 需要先储存才能继续程序, 要现在储存?
Attr Column Num.	属性栏位 
Attr Conn. String	属性连接字符串 
Attribute	属性
Attribute Setting	属性设定
Attr Table Name	属性表名称 
Select a date...	选择日期...
Filter	筛选
Add Document	新增文件
Add comment	新增评语
Add Shortcut	新增捷径
Add To Archive	新增到档案库 
Add Version	新增版本
All	所有
Audit History	档案日志目录
Browse	浏览
