7/15/19 5:35 PM
Project Statistics

                 	Segments	 Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	   27380	193176	                    1021097	                      1181909	    30	
Remaining:       	   24263	179627	                     949230	                      1099604	    29	
Unique:          	   24814	183795	                     973222	                      1127433	    30	
Unique Remaining:	   23076	173972	                     920050	                      1066189	    29	


Individual File Statistics:

File Name                                                                         	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
DIKO/DIKO Admin Guide v1.0.docx                                                   	           685	               455	            534	                      371	       4008	           3226	        3457	                  2813	                            19773	                                15884	                             17100	                                       13877	                              23335	                                  18821	                               20254	                                         16477	
DIKO/DIKO Backup & Restore Procedures.docx                                        	           120	                 8	            100	                        4	       1066	              8	        1040	                     4	                             5356	                                   40	                              5247	                                          20	                               6303	                                     40	                                6188	                                            20	
DIKO/DIKO DropZone Installation and User Guide.docx                               	           127	                 4	             67	                        4	        356	              7	         278	                     7	                             1903	                                   12	                              1374	                                          12	                               2111	                                     12	                                1564	                                            12	
DIKO/DIKO Installation Guide v3-Merged1-20190515.docx                             	           501	               327	            355	                      286	       2705	           2078	        2058	                  1746	                            14346	                                10918	                             10761	                                        9099	                              16380	                                  12493	                               12302	                                         10391	
DIKO/DIKO Tutorial.docx                                                           	            45	                 1	             39	                        1	        352	              5	         346	                     5	                             1668	                                   15	                              1657	                                          15	                               1958	                                     17	                                1947	                                            17	
DIKO/DIKO User Guide v1.0.docx                                                    	           664	               458	            405	                      335	       4279	           3650	        3579	                  3170	                            21352	                                18014	                             17765	                                       15623	                              25085	                                  21312	                               21060	                                         18563	
DIKO/Email Capture Pro User Guide.docx                                            	            15	                11	             12	                       11	        165	            161	         162	                   161	                              757	                                  749	                               751	                                         749	                                906	                                    898	                                 900	                                           898	
DIKO/Email Capture User Guide.docx                                                	            10	                 0	             10	                        0	        145	              0	         145	                     0	                              743	                                    0	                               743	                                           0	                                873	                                      0	                                 873	                                             0	
DocTracker/DocTracker 3Plus User Guide v1.0 - Mag.docx                            	           382	               114	            220	                      104	       2302	           1068	        1880	                  1017	                            11143	                                 5124	                              9107	                                        4887	                              13103	                                   6096	                               10798	                                          5818	
DocTracker/DocTracker 3Plus User Guide.docx                                       	           774	               262	            311	                      192	       4707	           2221	        2315	                  1621	                            22961	                                10911	                             11349	                                        8010	                              26844	                                  12830	                               13284	                                          9403	
